id,text,anger,fear,joy,sadness,surprise
eng_train_track_a_01466,"I set off down the street, walking with my head tilted slightly downwards, hiding my face from view.",0,1,0,1,0
eng_train_track_a_01746,"Still, the event was constantly played in my head.",0,1,0,1,0
eng_train_track_a_02121,so I'm stir my heart for Europe travel.,0,0,1,0,0
eng_train_track_a_02310,"Her hair was greasy, stringy, and falling out.",0,1,0,1,0
eng_train_track_a_01259,My head smashed into the roof of it hard enough to drive every thought from my head.,1,1,0,0,0
eng_train_track_a_01476,Comes home later that night to find the money gone.,1,1,0,1,1
eng_train_track_a_01090,These dogs jump on me and scratch my legs and when I get out of the car they try to jump inside.,1,1,0,0,0
eng_train_track_a_00681,Or luck out and get a perfectly sane person.,0,1,1,0,0
eng_train_track_a_01801,After that we took a taxi home... Right now my leg hurts and while im typing this the photos are uploading... see ya...,1,1,0,1,0
eng_train_track_a_00798,"I'm still sick, my nose is sore from blowing it all day, and it's wicked hot in the apartment.",0,1,0,1,0
eng_train_track_a_00668,I don't need this job and you know it.,1,0,0,0,0
eng_train_track_a_01831,Tried to talk to my cousin to see whether this was really a possesion or something else.,0,1,0,0,1
eng_train_track_a_00613,"My ankle is feeling 100x better, but now my knee is ridiculous swollen.",0,0,1,1,0
eng_train_track_a_02100,One time my aunt was sitting on her front porch in her bare feet and she felt a lick.,0,1,0,0,1
eng_train_track_a_02267,"I had to listen closely, to close my eyes, to feel it filling my head.",0,1,0,0,0
eng_train_track_a_02548,""" staring dead at my ex.",1,1,0,1,0
eng_train_track_a_00213,At one point it even came up to my foot to nibble on the grass near my toes.,0,0,1,0,0
eng_train_track_a_00984,"It constantly snarled in the fine hairs on the back of my neck and left red marks on my temples when it snapped, sending the steel tips of the rubber band into my face.",1,1,0,0,1
eng_train_track_a_02556,"*  In trying to include new mother in law into the wedding festivities, I invited her to pick out the flower girl dress for her granddaughter (her other son's daughter).",0,0,1,0,0
eng_train_track_a_02419,"I sweated my balls off, tore up my muscles and got new bruises ( right after the old ones healed ), but the building is lovely and cool and I have an amazing view of the ocean from the upper floors.",0,1,1,0,0
eng_train_track_a_00077,"It could have been my eye -- but my glasses probably blocked that from happening, and diverted the injury higher up on my head.",0,1,0,0,1
eng_train_track_a_01572,I was on a (admittedly silly) adrenaline rush.,0,1,1,0,1
eng_train_track_a_01366,I never got any waffles either.,1,0,0,1,0
eng_train_track_a_02417,She left in a huge hurry leaving me with the overflowing toilet after her giant dump.,1,1,0,0,1
eng_train_track_a_00035,Sets the power/entity free.,0,1,1,0,1
eng_train_track_a_00380,Grief does funny things.,0,1,0,1,1
eng_train_track_a_01165,"Just got x-rays, and at least my knee does not appear to be broken ( although they are sending the x-rays to a specialist to be sure ).",0,1,1,0,0
eng_train_track_a_00588,So it's been hanging over my head.,0,1,0,1,1
eng_train_track_a_02623,JJ had gotten drunk and taken the car.,1,1,0,0,1
eng_train_track_a_01304,&lt;/crazy-nutter&gt;,0,1,0,0,1
eng_train_track_a_02530,Giant redneck dad decides to find this dude first.,1,1,0,0,1
eng_train_track_a_02467,Unfortunately my mum decided to clear out his old room and she found them.,0,1,0,1,1
eng_train_track_a_00796,"Sometimes, the journey there is just as important.",0,0,1,0,0
eng_train_track_a_01520,"I still remember this occasionally, clear as day.",0,0,1,1,1
